id	Term	Description	Source	XRef	Comment (source)	Comment (SCDO)	Exact Syn	Broad Syn	Related Syn	Narrow Syn
SCDO:0000016	Acute Complications of Sickle Cell Disease	'A condition that co-exists or follows from sickle cell disease and that has a severe and rapid onset of symptoms with short duration. [Curator team: []]'	http://bioportal.bioontology.org/ontologies/NCIT?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C14140				Acute Complications of SCD			
SCDO:0000016	Acute Complications of Sickle Cell Disease		http://purl.bioontology.org/ontology/MESH/Q000150							
SCDO:0000017	Acute Kidney Injury	"'Sudden loss of renal function, as manifested by decreased urine production, and a rise in serum creatinine or blood urea nitrogen concentration (azotemia). Acute renal failure is usually classified into prerenal (response to severe volume depletion), intrinsic (response to acute cytotoxic, ischemic, or inflammatory insults) and postrenal (response to obstruction of the passage of urine) etiologies. [Curator team: []]'"	http://purl.obolibrary.org/obo/HP_0001919	HP:0001919		Further work	Acute Kidney Failure			
SCDO:0000017	Acute Kidney Injury			HP:0001919		Provide source for additional info.	Acute Renal Failure			
SCDO:0000017	Acute Kidney Injury			HP:0001919		There is conflicting positioning of this term in different ontologies. Need an expert to decide descriptions and positioning of this and related terms.				
SCDO:0000018	Acute Non-Specific Wheezing Episode	'An acute onset of wheezing in a person with SCD who has no co-morbid asthma. [Curator team: []]'				Check and show which source was used for the description and whether the description was adapted from the source. -- Provide source for additional info.				
SCDO:0000019	Acute Sickle Cell Pain Management	'Sickle cell pain management that aims to heal the acute process. [Curator team: []]'	"Evidence-Based Management of Sickle Cell Disease, Expert Panel Report, 2014."				Acute Sickle Cell Pain Treatment			
SCDO:0000020	Acute Tubular Necrosis	"'Acute injury of renal tubular cells that usually results from prolonged renal ischemia, nephrotoxins, or sepsis. [Curator team: []]'"		HP:0008682		Check and show which source was used for the description and whether the description was adapted from the source. -- Provide source for additional info.	Renal Tubular Necrosis			
SCDO:0000020	Acute Tubular Necrosis			HP:0008682						
SCDO:0000020	Acute Tubular Necrosis			HP:0008682						
SCDO:0000021	Acute Upper Respiratory Tract Infection	'An acute respiratory illness with no lower respiratory tract signs or infiiltrate on chest radiograph. [Curator team: []]'		OAE:0000358		Check and show which source was used for the description and whether the description was adapted from the source. -- Provide source for additional info.	URTI			
SCDO:0000024	Adherence	"The extent to which a person's behaviour - taking medications, following a diet and/or executing life style changes, corresponds to agreed recommendations by a health care provider. [Curator team: []]"	www.who.int/chp/knowledge/publications/adherence_full_report.pdf	MESH:D010349			Adherence to Long Term Therapy			
SCDO:0000024	Adherence						Patient Adherence			
SCDO:0000024	Adherence						Patient Compliance			
SCDO:0000024	Adherence						Patient Cooperation			
SCDO:0000025	Adjuvant	'Any pharmacological or immunological agent that modifies the effect of other agents such as drugs or vaccines while having few if any direct effects when given by itself. [Curator team: []]'	http://purl.obolibrary.org/obo/CHEBI_60809	CHEBI:60809			Adjuvant Medicine			
SCDO:0000026	Adult Migraine Questionnaire	"'The Self-Administered Questionnaire for Migraine is a 20-item questionnaire that assesses the frequency of severe headaches, the level of pain, whether the person is taking medications, and associated complications such as nausea. [Curator team: []]'"	http://www.phenxtoolkit.org/index.php?pageLink=browse.protocoldetails&id=130501	PX130501						
SCDO:0000027	Adult Sickle Cell Quality-of-Life Measurement Information System (ASCQ-Me)	"'ASCQ-Me (Adult Sickle Cell Quality of Life Measurement Information System) is a patient-reported outcome measurement system that assesses the physical, social, and emotional impact of sickle cell disease (SCD). ASCQ-Me includes questions that enable adults with SCD to describe their functioning and well-being. ASCQ-Me measures are available as 5 item short forms or can be administered as computer adaptive tests. Measures include: Pain Impact; Stiffness Impact (5-item short form); Sleep Impact; Social Functioning Impact; Emotional Impact; Pain Episodes -- Frequency and Severity. [Curator team: []]'"				Check and show which source was used for the description and whether the description was adapted from the source.	ASCQ-Me			
SCDO:0000027	Adult Sickle Cell Quality-of-Life Measurement Information System (ASCQ-Me)						Adult Sickle Cell Quality-of-Life Measurement Information System			
SCDO:0000028	Adverse Drug Event	'An adverse event that occurs after a drug administration. [Curator team: []]'	http://purl.obolibrary.org/obo/OAE_0000005	OAE:0000005		"Should this be a sub-class of ""Environmental Disease Modifier""?"	ADE			
SCDO:0000028	Adverse Drug Event						ADR			
SCDO:0000028	Adverse Drug Event						Adverse Drug Reaction			
SCDO:0000028	Adverse Drug Event						Drug Adverse Event			
SCDO:0000029	Agarose Gel Electrophoresis	'Electrophoresis in which agar or agarose gel is used as the diffusion medium. [Curator team: []]'	http://purl.bioontology.org/ontology/MESH/D004587	D004587			Agar Gel Electrophoresis			
SCDO:0000030	Age	'How long something has existed; elapsed time since birth. [Curator team: []]'	http://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C25150	NCIT:C25150		"Still must add many sub-classes of ""Age"" in NCIT."	Aged			
SCDO:0000030	Age						Chronological Age			
SCDO:0000030	Age						Postnatal Age			
SCDO:0000032	Agenesis of Corpus Callosum	'A rare congenital disorder characterized by a partial or complete absence (agenesis) of an area of the brain that connects the two cerebral hemispheres. [Curator team: []]'	http://rarediseases.org/rare-diseases/agenesis-of-corpus-callosum/	HP:0001274		Include links to relevant Therapeutics.	ACC			
SCDO:0000034	Alanine Transaminase Blood Test	'A test to measures the level of the alanine transaminase (ALT) enzyme in the blood. [Curator team: []]'	http://medlineplus.gov/ency/article/003473.htm				ALT Blood Test			
SCDO:0000034	Alanine Transaminase Blood Test						Serum ALT Blood Test			
SCDO:0000034	Alanine Transaminase Blood Test									
SCDO:0000034	Alanine Transaminase Blood Test									
SCDO:0000035	Alanine Transaminase Level	'A quantitative measurement of the amount of alanine aminotransferase present in a sample of serum. [Curator team: []]'	http://bioportal.bioontology.org/ontologies/NCIT?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C61017				ALT Level			
SCDO:0000035	Alanine Transaminase Level						Alanine Aminotransferase Level			
SCDO:0000035	Alanine Transaminase Level						Alanine Transaminase Level			
SCDO:0000035	Alanine Transaminase Level						Blood Alanine Transaminase Amount			
SCDO:0000035	Alanine Transaminase Level						Circulating Alanine Transaminase Level			
SCDO:0000035	Alanine Transaminase Level						Glutamic-Pyruvic Transaminase Level			
SCDO:0000035	Alanine Transaminase Level						Serum ALT Measurement			
SCDO:0000035	Alanine Transaminase Level						Serum Alanine Aminotransferase Measurement			
SCDO:0000035	Alanine Transaminase Level						Serum Alanine Transaminase Measurement			
SCDO:0000035	Alanine Transaminase Level						Serum SGPT Measurement			
SCDO:0000036	Albinism	"'Albinism is a defect of melanin production that results in little or no color (pigment) in the skin, hair, and eyes. [Curator team: []]'"		HP:0001022		Check and show which source was used for the description and whether the description was adapted from the source. -- Provide source for additional info.	Achromasia			
SCDO:0000036	Albinism			HP:0001022						
SCDO:0000036	Albinism			HP:0001022						
SCDO:0000037	Albuminuria	'Increased concentration of albumin in the urine; more than 30mg in 24hours or urine albumin creatinine ratio (ACR) >30 mg/g or >3 mg/mmol. [Curator team: []]'	http://www.nice.org.uk/guidance/CG182/chapter/introduction	HP:0012592		"Include as sub-class?: -- macroalbuminuia (possibly now referred to as  ""high level albuminuria""...see PhenX protocol for "" Urinary Microalbumin Assay"")"				
SCDO:0000037	Albuminuria		HP:0012592	HP:0012592						
SCDO:0000038	Alcohol - Lifetime Use	'Record of whether or not the respondent has ever consumed any alcoholic beverage during his or her entire life. [Curator team: []]'	http://www.phenxtoolkit.org/index.php?pageLink=browse.protocols&id=30100							
SCDO:0000038	Alcohol - Lifetime Use									
SCDO:0000038	Alcohol - Lifetime Use									
SCDO:0000038	Alcohol - Lifetime Use									
SCDO:0000039	Alcohol Intake	'A drinking behavior associated with the intake of alcohol. [Curator team: []]'	http://purl.obolibrary.org/obo/NBO_0000131	NBO:0000131			Alcohol Consumption			
SCDO:0000040	Alcohol Use History	A description of an individual's current and past experience with alcoholic beverage consumption. [Curator team: []]	http://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C81229			"Add other terms in the PhenX ""Alcohol Use"" collection?"				
SCDO:0000042	Alpha Thalassemia	"'A disorder characterized by reduced synthesis of the alpha chains of hemoglobin. The severity of this condition can vary from mild anemia to death, depending on the number of genes deleted. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D017085	DOID:1099			A-Thalassemia			
SCDO:0000042	Alpha Thalassemia			MeSH:D017085			Alpha-Thalassemia			
SCDO:0000043	Alpha Thalassemia Silent Carrier	'A condition in which a person has reduced protein production from one of the four alpha-globin alleles. [Curator team: []]'	http://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C95536	NCIT:C95536			Alpha-Thalassemia Silent Carrier			
SCDO:0000044	Alpha Thalassemia Trait	'A condition in which a person has reduced protein production from two of the four alpha-globin alleles. [Curator team: []]'	http://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C95535	NCIT:C95535			Alpha-Thalassemia Trait			
SCDO:0000045	Alpha-Adrenergic Agents	'Drugs that selectively bind to and activate alpha adrenergic receptors. [Curator team: []]'	http://purl.bioontology.org/ontology/MESH/D000316	MESH:D000316			Adrenergic Alpha Agonists			
SCDO:0000045	Alpha-Adrenergic Agents						Alpha Adrenergic Receptor Agonist			
SCDO:0000046	Alpha-Globins	"'Members of the alpha-globin family. In humans, they are encoded in a gene cluster on chromosome 16. They include zeta-globin and alpha-globin. There are also pseudogenes of zeta (theta-zeta) and alpha (theta-alpha) in the cluster. Adult hemoglobin is comprised of 2 alpha-globin chains and 2 beta-globin chains. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D055542	MESH:D055542						
SCDO:0000048	Amniotic Fluid Testing	'A prenatal diagnostic procedure in which a small sample of amniotic fluid is removed from the uterus by a needle inserted into the abdomen. This procedure is used to detect various genetic abnormalities in the fetus and/or the sex of the fetus. [Curator team: Exact []]'	http://purl.obolibrary.org/obo/NCIT_C52009	NCIT:C52009						
SCDO:0000049	Analgesia	'Methods of pain relief that may be used with or in place of analgesics. [Curator team: []]'	http://purl.bioontology.org/ontology/MESH/D000698	MeSH:D000698			Analgesias			
SCDO:0000049	Analgesia			http://purl.bioontology.org/ontology/MESH/D000698						
SCDO:0000049	Analgesia			MeSH:D000698						
SCDO:0000050	Analgesics	'Compounds capable of relieving pain without the loss of consciousness. [Curator team: []]'	http://purl.bioontology.org/ontology/MESH/D000700	MESH:D000700			Analgesic Agent			
SCDO:0000050	Analgesics						Analgesic Drugs			
SCDO:0000050	Analgesics						Anodynes			
SCDO:0000050	Analgesics						Pain Killers			
SCDO:0000050	Analgesics						Painkiller			
SCDO:0000050	Analgesics						Painkillers			
SCDO:0000053	Anesthetic Complication AE	'An adverse drug event that results in unexpected and unwanted events due to anesthetic drug treatment. [Curator team: []]'	http://purl.obolibrary.org/obo/OAE_0002348	OAE:0002348						
SCDO:0000054	Angioid Streaks	"'Grayish, brown, or dark red streaks caused by cracks in Bruch\xe2\x80\x99s membrane that are histologically characterized by calcium deposition. Angioid streaks are most characteristic of sickle cell anemia and can occur to a lesser extent in other sickle cell syndromes, but not in sickle cell trait. [Curator team: []]'"	Ballas et al 2010 Am J Hematol	DOID:13401						
SCDO:0000055	Angiotensin-Converting Enzyme Inhibitors	'A class of drugs whose main indications are the treatment of hypertension and heart failure. They exert their hemodynamic effect mainly by inhibiting the renin-angiotensin system. They also modulate sympathetic nervous system activity and increase prostaglandin synthesis. They cause mainly vasodilation and mild natriuresis without affecting heart rate and contractility. [Curator team: []]'	http://purl.bioontology.org/ontology/MESH/D000806	MESH:D000806			ACE			
SCDO:0000055	Angiotensin-Converting Enzyme Inhibitors						ACE Inhibitors			
SCDO:0000055	Angiotensin-Converting Enzyme Inhibitors						Angiotensin Converting Enzyme			
SCDO:0000055	Angiotensin-Converting Enzyme Inhibitors						Angiotensin Converting Enzyme Inhibitors			
SCDO:0000056	Annual Family Income	The respondent's total family income from the last calendar year. [Curator team: []]	http://www.phenxtoolkit.org/index.php?pageLink=browse.protocols&id=11100	PX11100		Include under QoL? --  -- The PhenX protocol is U.S. specific. Is there one relevant to the African setting?				
SCDO:0000056	Annual Family Income									
SCDO:0000056	Annual Family Income									
SCDO:0000056	Annual Family Income									
SCDO:0000057	Anti-Inflammatory Agent	'Substance that reduces or suppresses inflammation. [Curator team: []]'	http://purl.bioontology.org/ontology/MESH/D000893	MESH:D000893			Anti Inflammatories			
SCDO:0000057	Anti-Inflammatory Agent						Anti Inflammatory Agents			
SCDO:0000057	Anti-Inflammatory Agent						Anti-Inflammatories			
SCDO:0000057	Anti-Inflammatory Agent						Anti-Inflammatory Agents			
SCDO:0000057	Anti-Inflammatory Agent						Anti-Inflammatory Drug			
SCDO:0000057	Anti-Inflammatory Agent						Antiinflammatories			
SCDO:0000057	Anti-Inflammatory Agent						Antiinflammatory Agents			
SCDO:0000059	Antibiotic	"'Substances naturally produced by microorganisms or their derivatives that selectively target microorganisms not humans. Antibiotics kill or inhibit the growth of microorganisms by targeting components of the microbial cell absent from human cells, including bacterial cell walls, cell membrane, and 30S or 50S ribosomal subunits. These substances are used in the treatment of bacterial and other microbial infections. [Curator team: []]'"	http://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C258				Antibiotic Agents			
SCDO:0000059	Antibiotic						Antibiotic Drugs			
SCDO:0000059	Antibiotic						Antibiotics			
SCDO:0000059	Antibiotic						Antimicrobial			
SCDO:0000059	Antibiotic						Antimicrobial Agent			
SCDO:0000066	Antihistamine	"'Drugs that bind to but do not activate histamine receptors, thereby blocking the actions of histamine or histamine agonists. Classical antihistaminics block the histamine H1 receptors only. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D006633	MESH:D006633			Histamine Antagonist			
SCDO:0000067	Antihypertensive Agents	"'Used in the treatment of acute or chronic vascular hypertension regardless of pharmacological mechanism. Among the antihypertensive agents are diuretics; (especially Diuretics, Thiazide); Adrenergic Beta-Antagonists; Adrenergic Alpha-Antagonistics; Angiotensin-Converting Enzyme Inhibitors; Calcium Channel Blockers; Ganglionic Blockers; and Vasodilator Agents. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D000959	MESH:D000959			"Agents, Antihypertensive"			
SCDO:0000067	Antihypertensive Agents						Anti-Hypertensives			
SCDO:0000067	Antihypertensive Agents						Antihypertensives			
SCDO:0000068	Anxiety	"'A neurological and physiological symptom characterized by a painful or apprehensive uneasiness of mind usually over an impending or anticipated ill. Physical symptoms include increased blood pressure (rapid heartbeat), trembling or dizziness. [Curator team: []]'"	http://purl.obolibrary.org/obo/SYMP_0000412	HP:0000739			Anxiety symptoms			
SCDO:0000068	Anxiety		http://www.apa.org/topics/anxiety/	SYMP:0000412			Panic			
SCDO:0000068	Anxiety						Worry			
SCDO:0000069	Apolipoprotein L1	'This gene encodes a secreted high density lipoprotein which binds to apolipoprotein A-I. [Curator team: []]'	http://www.ncbi.nlm.nih.gov/gene/8542				APOL1			
SCDO:0000070	Aquatic Rehabilitation	"'Exercises performed in or underwater for conditioning or rehabilitation (e.g., in injured athletes or patients with joint diseases). [Curator team: []]'"	http://medical-dictionary.thefreedictionary.com/aquatic+therapy				Aqua Therapy			
SCDO:0000070	Aquatic Rehabilitation						Hydrotherapy			
SCDO:0000071	Arterial Blood Gas Test	"'A blood test that measures the pH of the blood, the partial pressure of arterial carbon dioxide and oxygen, the bicarbonate level. [Curator team: []]'"	http://www.phenxtoolkit.org/index.php?pageLink=browse.protocols&id=90200	PX90200			ABG Test			
SCDO:0000071	Arterial Blood Gas Test									
SCDO:0000071	Arterial Blood Gas Test									
SCDO:0000072	Arteriovenous Malformation	"'Abnormal formation of blood vessels that shunt arterial blood directly into veins without passing through the CAPILLARIES. They usually are crooked, dilated, and with thick vessel walls. A common type is the congenital arteriovenous fistula. The lack of blood flow and oxygen in the capillaries can lead to tissue damage in the affected areas. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D001165	DOID:11294			Arteriovenous Malformations			
SCDO:0000072	Arteriovenous Malformation			MESH:D001165						
SCDO:0000073	Artesunate	Artesunate is part of the artemisinin group of drugs that treat malaria. It is a semi-synthetic derivative of artemisinin that is water-soluble and may therefore be given by injection. It is on the World Health Organization's List of Essential Medicines. [Curator team: []]	http://www.drugbank.ca/drugs/DB09274	DB09274						
SCDO:0000073	Artesunate									
SCDO:0000074	Arthralgia	'Joint pain. [Curator team: []]'	http://purl.obolibrary.org/obo/HP_0002829	HP:0002829		Provide source for additional info.	Arthralgias			
SCDO:0000074	Arthralgia			HP:0002829			Joint pain			
SCDO:0000074	Arthralgia			HP:0002829						
SCDO:0000075	Arthritis	'Inflammation of a joint. [Curator team: []]'	http://purl.obolibrary.org/obo/HP_0001369	HP:0001369		Provide source for additional info.				
SCDO:0000075	Arthritis			DOID:848						
SCDO:0000075	Arthritis			HP:0001369						
SCDO:0000078	ASCQ-Me - Quality of Life in SCD	"'This protocol includes 30 self-administered questions from the short form of the Adult Sickle Cell Quality of Life Measurement Information System (ASCQ-Me). Domains covered include emotional impact (5 items), social functioning impact (5 items), sleep impact (5 items), stiffness impact (5 items), pain episode (5 items), and pain frequency (5 items). [Curator team: []]'"	http://www.phenxtoolkit.org/index.php?pageLink=browse.protocoldetails&id=820201							
SCDO:0000078	ASCQ-Me - Quality of Life in SCD									
SCDO:0000078	ASCQ-Me - Quality of Life in SCD									
SCDO:0000078	ASCQ-Me - Quality of Life in SCD									
SCDO:0000079	Aspartate Aminotransferase Blood Test	"'A bioassay to measure levels of aspartate aminotransferase (AST), which is released into the blood following tissue damage. [Curator team: []]'"	http://www.phenxtoolkit.org/index.php?pageLink=browse.protocols&filter=1&id=811200	PX811200			AST Blood Test			
SCDO:0000079	Aspartate Aminotransferase Blood Test						Serum AST Blood Test			
SCDO:0000079	Aspartate Aminotransferase Blood Test									
SCDO:0000079	Aspartate Aminotransferase Blood Test									
SCDO:0000079	Aspartate Aminotransferase Blood Test									
SCDO:0000080	Aspartate Aminotransferase Level	'A quantitative measurement of the amount of aspartate aminotransferase present in a sample of serum. [Curator team: []]'	http://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C61018	NCIT:C61018			AST Level			
SCDO:0000080	Aspartate Aminotransferase Level						Aspartate Aminotransferase Measurement			
SCDO:0000080	Aspartate Aminotransferase Level						Aspartate Transaminase Level			
SCDO:0000080	Aspartate Aminotransferase Level						Blood Aspartate Transaminase Amount			
SCDO:0000080	Aspartate Aminotransferase Level						Red Blood Cell Aspartate Aminotransferase Level			
SCDO:0000080	Aspartate Aminotransferase Level						Serum Aspartate Aminotransferase Measurement			
SCDO:0000080	Aspartate Aminotransferase Level						Serum Aspartate Transaminase Measurement			
SCDO:0000080	Aspartate Aminotransferase Level						Serum SGOT Measurement			
SCDO:0000081	ASQE-Me - Quality of Care in SCD	'A set of 27 questions administered to adults with sickle cell disease (SCD) to determine the quality of care that they have received from health care providers. [Curator team: []]'	http://www.phenxtoolkit.org/index.php?pageLink=browse.protocoldetails&id=820101				ASCQ-Me Quality of Care Module			
SCDO:0000081	ASQE-Me - Quality of Care in SCD									
SCDO:0000081	ASQE-Me - Quality of Care in SCD									
SCDO:0000081	ASQE-Me - Quality of Care in SCD									
SCDO:0000082	"Diagnostic Technique, Method, Test or Assay"	"'A planned process with the objective of producing diagnostic information about the material entity that is the evaluant, by physically examining it or its proxies. [Curator team: []]'"	http://purl.obolibrary.org/obo/OBI_0000070	OBI:0000070		"Use structuring of sub-classes within MESH's ""Diagnostic Techniques and Procedures"" and NCIT's ""Diagnostic Procedure"" to inform structuring of terms in this class."				
SCDO:0000084	Assessment of Short-Axis Cardiac Function by MRI	"This measure is a magnetic resonance imaging (MRI) method of capturing an individual's heart performance, and is considered the gold standard for capturing ventricular volumes and mass. It is used to detect cardiac abnormalities, such as cardiomyopathies, myocardial fibrosis, and infarction. [Curator team: []]"	http://www.phenxtoolkit.org/toolkit_content/supplemental_info/scd_cardio_pulm_renal/measures/Short_Axis_Function_20May2015.doc							
SCDO:0000086	Asthma	"'A form of bronchial disorder with three distinct components: airway hyper-responsiveness, airway inflammation, and intermittent airway obstruction. It is characterized by spasmodic contraction of airway smooth muscle, wheezing and dyspnea. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D001249	DOID:2841		Further work				
SCDO:0000086	Asthma			MESH:D001249		"Include a copy of this term below ""Comorbid Disease"" and/or below ""Respiratory System""."				
SCDO:0000087	Ataxia	"'Ataxia is a term for a group of disorders that affect co-ordination, balance and speech. [Curator team: []]'"		HP:0001251		"Check and show which source was used for the description and whether the description was adapted from the source. -- Perhaps add ""Cerebellar Ataxia"" subclass?"				
SCDO:0000087	Ataxia					Further work				
SCDO:0000088	Atopic Dermatitis	"'A chronic inflammatory genetically determined disease of the skin manifested by lichenification, excoriation, and crusting, mainly on the flexural surfaces of the elbow and knee. [Curator team: []]'"		HP:0001047		Check and show which source was used for the description and whether the description was adapted from the source. -- Provide source for additional info.				
SCDO:0000088	Atopic Dermatitis			DOID:3310						
SCDO:0000088	Atopic Dermatitis			HP:0001047						
SCDO:0000089	Atrophic Brain	"'Acquired diminution of the size of the brain associated with wasting as from death and reabsorbtion of cells, diminished cellular proliferation, decreased cellular volume, pressure, ischemia, malnutrition, reduced function or malfunction, or hormonal changes. [Curator team: []]'"	http://purl.obolibrary.org/obo/MP_0012506	MP:0012506			Brain Atrophy			
SCDO:0000090	Attention Deficit Hyperactivity Disorder	"'Attention deficit hyperactivity disorder (ADHD) manifests at age 2-3 years or by first grade at the latest. The main symptoms are distractibility, impulsivity, hyperactivity, and often trouble organizing tasks and projects, difficulty going to sleep, and social problems from being aggressive, loud, or impatient. [Curator team: []]'"	http://purl.obolibrary.org/obo/HP_0007018	HP:0007018		Provide source for additional info.	ADHD			
SCDO:0000090	Attention Deficit Hyperactivity Disorder			DOID:1094						
SCDO:0000090	Attention Deficit Hyperactivity Disorder			HP:0007018						
SCDO:0000092	Azoospermia	Absence of any measurable level of sperm in a male's semen. [Curator team: []]		HP:0000027		Check and show which source was used for the description and whether the description was adapted from the source. -- Provide source for additional info.	Absent sperm in semen			
SCDO:0000092	Azoospermia			DOID:14227						
SCDO:0000092	Azoospermia			HP:0000027						
SCDO:0000093	Azotaemia	"'An increased concentration of nitrogen compounds in the blood including blood urea, creatinine. [Curator team: []]'"		HP:0002157		"Perhaps move to below ""Endocrine and Metabolic""? --  -- Check and show which source was used for the description and whether the description was adapted from the source. -- Provide source for additional info."	Azotaemia			
SCDO:0000093	Azotaemia			HP:0002157						
SCDO:0000094	B-cell CLL/lymphoma 11A	'This gene encodes a C2H2 type zinc-finger protein by its similarity to the mouse Bcl11a/Evi9 protein. [Curator team: []]'	http://www.ncbi.nlm.nih.gov/gene/53335			"Link to ""Hereditary Persistence of fetal hemoglobin""."				
SCDO:0000095	Back Pain	"'An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the back. [Curator team: []]'"		HP:0003418		Check and show which source was used for the description and whether the description was adapted from the source. -- Provide source for additional info.	Lower back pain.			
SCDO:0000095	Back Pain			HP:0003418						
SCDO:0000095	Back Pain			HP:0003418						
SCDO:0000098	Bacteria	"'They are unicellular prokaryotic microorganisms which generally possess rigid cell walls, multiply by cell division, and exhibit three principal forms: round or coccal, rodlike or bacillary, and spiral or spirochetal. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D001419	MESH:D001419						
