id	Term	in guideline
SCDO:0000744	Meningitis	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000744	Meningitis	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000745	Menorrhagia	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000742	Mefloquine	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000943	Pulmonary Hypertension	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000943	Pulmonary Hypertension	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000943	Pulmonary Hypertension	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000943	Pulmonary Hypertension	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0000943	Pulmonary Hypertension	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000943	Pulmonary Hypertension	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000943	Pulmonary Hypertension	Evidence-Based Management of Sickle Cell Disease
SCDO:0000943	Pulmonary Hypertension	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000943	Pulmonary Hypertension	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000943	Pulmonary Hypertension	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000940	Psychotherapy	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000580	Hydroxyurea	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000580	Hydroxyurea	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000580	Hydroxyurea	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000580	Hydroxyurea	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0000580	Hydroxyurea	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000580	Hydroxyurea	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000580	Hydroxyurea	Evidence-Based Management of Sickle Cell Disease
SCDO:0000580	Hydroxyurea	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000580	Hydroxyurea	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000580	Hydroxyurea	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000580	Hydroxyurea	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000367	Diabetes Mellitus	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000367	Diabetes Mellitus	Evidence-Based Management of Sickle Cell Disease
SCDO:0000367	Diabetes Mellitus	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000209	Cerebral Hemorrhage	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000209	Cerebral Hemorrhage	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000209	Cerebral Hemorrhage	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000209	Cerebral Hemorrhage	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000360	Depression	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000360	Depression	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000360	Depression	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000360	Depression	Evidence-Based Management of Sickle Cell Disease
SCDO:0000360	Depression	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000360	Depression	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000360	Depression	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000207	Cerebral Edema	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000202	Cerebral Aneurysm	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000162	Breakthrough Pain	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000162	Breakthrough Pain	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000162	Breakthrough Pain	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000162	Breakthrough Pain	Evidence-Based Management of Sickle Cell Disease
SCDO:0000162	Breakthrough Pain	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000162	Breakthrough Pain	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000168	Caesarian Section	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000168	Caesarian Section	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000832	Ophthalmologic Complication	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000832	Ophthalmologic Complication	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000832	Ophthalmologic Complication	Evidence-Based Management of Sickle Cell Disease
SCDO:0000832	Ophthalmologic Complication	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000836	Opioid	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000836	Opioid	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000836	Opioid	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000836	Opioid	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000836	Opioid	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000836	Opioid	Evidence-Based Management of Sickle Cell Disease
SCDO:0000836	Opioid	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000836	Opioid	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000839	Osteomalacia	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000685	Leg Ulcer	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000685	Leg Ulcer	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000685	Leg Ulcer	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000685	Leg Ulcer	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0000685	Leg Ulcer	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000685	Leg Ulcer	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000685	Leg Ulcer	Evidence-Based Management of Sickle Cell Disease
SCDO:0000685	Leg Ulcer	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000685	Leg Ulcer	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000685	Leg Ulcer	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000687	Leukaemia	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000687	Leukaemia	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000687	Leukaemia	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000068	Anxiety	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000068	Anxiety	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000068	Anxiety	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000068	Anxiety	Evidence-Based Management of Sickle Cell Disease
SCDO:0000068	Anxiety	A Parental Guide to Managing Sickle Cell Disease
SCDO:0001163	Total White Blood Cell Count	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001166	Transcranial Doppler Ultrasonography	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0001166	Transcranial Doppler Ultrasonography	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0001166	Transcranial Doppler Ultrasonography	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001166	Transcranial Doppler Ultrasonography	Evidence-Based Management of Sickle Cell Disease
SCDO:0001166	Transcranial Doppler Ultrasonography	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0001166	Transcranial Doppler Ultrasonography	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0001243	White Blood Cell Count	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000704	Lung Volume Measurement	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000708	Magnetic Resonance Imaging	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000708	Magnetic Resonance Imaging	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000708	Magnetic Resonance Imaging	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000708	Magnetic Resonance Imaging	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000708	Magnetic Resonance Imaging	Evidence-Based Management of Sickle Cell Disease
SCDO:0000708	Magnetic Resonance Imaging	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000708	Magnetic Resonance Imaging	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000708	Magnetic Resonance Imaging	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000709	Malaria Prophylaxis	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000709	Malaria Prophylaxis	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000709	Malaria Prophylaxis	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000709	Malaria Prophylaxis	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000665	Ischemia	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000665	Ischemia	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000665	Ischemia	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000665	Ischemia	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000665	Ischemia	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000665	Ischemia	Evidence-Based Management of Sickle Cell Disease
SCDO:0000665	Ischemia	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000665	Ischemia	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000665	Ischemia	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0001249	X-Ray Image	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0001249	X-Ray Image	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0001249	X-Ray Image	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0001249	X-Ray Image	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0001249	X-Ray Image	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001249	X-Ray Image	Evidence-Based Management of Sickle Cell Disease
SCDO:0001249	X-Ray Image	A Parental Guide to Managing Sickle Cell Disease
SCDO:0001249	X-Ray Image	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0001249	X-Ray Image	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000904	Pica	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000904	Pica	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000903	Physiotherapy	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000903	Physiotherapy	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000903	Physiotherapy	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000903	Physiotherapy	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000903	Physiotherapy	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000019	Acute Sickle Cell Pain Management	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000019	Acute Sickle Cell Pain Management	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000019	Acute Sickle Cell Pain Management	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000019	Acute Sickle Cell Pain Management	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0000019	Acute Sickle Cell Pain Management	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000019	Acute Sickle Cell Pain Management	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000019	Acute Sickle Cell Pain Management	Evidence-Based Management of Sickle Cell Disease
SCDO:0000019	Acute Sickle Cell Pain Management	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000019	Acute Sickle Cell Pain Management	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000019	Acute Sickle Cell Pain Management	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000019	Acute Sickle Cell Pain Management	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000501	Heart Rate	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000501	Heart Rate	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000501	Heart Rate	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000501	Heart Rate	Evidence-Based Management of Sickle Cell Disease
SCDO:0001012	Right Heart Catheterization	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0001012	Right Heart Catheterization	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001012	Right Heart Catheterization	Evidence-Based Management of Sickle Cell Disease
SCDO:0001011	Rheumatoid Arthritis	Evidence-Based Management of Sickle Cell Disease
SCDO:0000015	Acute Chest Syndrome	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000015	Acute Chest Syndrome	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000015	Acute Chest Syndrome	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000015	Acute Chest Syndrome	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0000015	Acute Chest Syndrome	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000015	Acute Chest Syndrome	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000015	Acute Chest Syndrome	Evidence-Based Management of Sickle Cell Disease
SCDO:0000015	Acute Chest Syndrome	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000015	Acute Chest Syndrome	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000015	Acute Chest Syndrome	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000015	Acute Chest Syndrome	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000017	Acute Kidney Injury	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000017	Acute Kidney Injury	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000017	Acute Kidney Injury	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000017	Acute Kidney Injury	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0000017	Acute Kidney Injury	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000017	Acute Kidney Injury	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000017	Acute Kidney Injury	Evidence-Based Management of Sickle Cell Disease
SCDO:0000017	Acute Kidney Injury	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000017	Acute Kidney Injury	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000017	Acute Kidney Injury	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000017	Acute Kidney Injury	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000010	Acetaminophen	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000010	Acetaminophen	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000010	Acetaminophen	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000010	Acetaminophen	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000010	Acetaminophen	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000010	Acetaminophen	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000010	Acetaminophen	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000010	Acetaminophen	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000012	Acne	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000380	Diclofenac	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000380	Diclofenac	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000380	Diclofenac	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000380	Diclofenac	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0001019	Salmon Patch Hemorrhage	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0001019	Salmon Patch Hemorrhage	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000508	Hematuria	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000508	Hematuria	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000508	Hematuria	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000508	Hematuria	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0000508	Hematuria	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000508	Hematuria	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000508	Hematuria	Evidence-Based Management of Sickle Cell Disease
SCDO:0000508	Hematuria	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000508	Hematuria	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000508	Hematuria	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0001122	Suicidal Thoughts	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000409	Echocardiogram	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000409	Echocardiogram	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000409	Echocardiogram	Evidence-Based Management of Sickle Cell Disease
SCDO:0000409	Echocardiogram	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000409	Echocardiogram	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000403	Dysarthria	Evidence-Based Management of Sickle Cell Disease
SCDO:0001206	Urinary Creatinine Test	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0001206	Urinary Creatinine Test	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0001207	Urinary Protein Measurement	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0001207	Urinary Protein Measurement	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0001205	Urinary Albumin Test	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0001205	Urinary Albumin Test	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0001209	Urine Albumin Concentration	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0001209	Urine Albumin Concentration	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000232	Chronic Restrictive Lung Disease	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0000232	Chronic Restrictive Lung Disease	Evidence-Based Management of Sickle Cell Disease
SCDO:0000232	Chronic Restrictive Lung Disease	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000232	Chronic Restrictive Lung Disease	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000232	Chronic Restrictive Lung Disease	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000233	Chronic Sickle Cell Pain	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000233	Chronic Sickle Cell Pain	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000233	Chronic Sickle Cell Pain	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000233	Chronic Sickle Cell Pain	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000233	Chronic Sickle Cell Pain	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000233	Chronic Sickle Cell Pain	Evidence-Based Management of Sickle Cell Disease
SCDO:0000233	Chronic Sickle Cell Pain	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000233	Chronic Sickle Cell Pain	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:1000021	Blindness	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:1000021	Blindness	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:1000021	Blindness	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:1000021	Blindness	Evidence-Based Management of Sickle Cell Disease
SCDO:0000771	Morphine	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000771	Morphine	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000771	Morphine	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000771	Morphine	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000771	Morphine	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
